ID,Yeast_Name,Gen,Parent_ID
471,YT1 OUT 443 | 444,4,468
472,AA6 HEF 448 | 449,3,469
473,U2 OUT 450 | 451,5,470
474,AA7 HEF 003 | 004,4,472
475,YT2 INK 001,5,471
476,YT1 OUT 007 | 008 | 009 | 010,6,473
477,AA7 HEF 003 | 004,4,472
478,AA8 HEF 011 | 012 | 013 | 014,5,474
479,YT2 MAC 016,6,475
480,AA8 HEF 011 | 012 | 013 | 014,5,474
481,YT1 OUT 017 | 018,7,476
482,AA8 HEF 011 | 012 | 013 | 014,5,474
483,YT2 OUT 023 | 024 | 025 | 026,7,479
484,WLP067 Coastal Haze Ale Blend Pitchable,0,
489,YT1 OUT 029 | 030,8,481
490,YT1 OUT 029 | 030,8,481
491,YPT1 PROP (Coastal Haze ) 035A,1,484
492,YT1 HEF 020 | 021,6,478
493,U14 UNIPA 038,2,491
494,YT2 OUT 033 | 034,8,483
495,AA7 HEF 027 | 028,6,480
496,YT1 OUT 036 | 037,9,490
497,AF4 OUT 043 | 044 | 045 | 046,9,494
498,AA6 HEF 040 | 041,7,492
499,YT2 OUT 043 | 044 | 045 | 046,9,494
500,YT1 OUT 053 | 054,10,497
501,YT1 OUT 053 | 054,10,497
502,YT2 OUT 061 | 062,11,500
503,AA7 HEF 055 | 056,8,498
504,U1 CURVE 049 | 050,10,496
505,AA6 HEF 063 | 064,9,503
506,YT2 OUT 065 | 066,11,504
507,AA6 HEF 063 | 064,9,503
508,YT2 OUT 065 | 066,11,504
509,U1 CURVE 049 | 050,10,496
510,AA7 HEF 067 | 068,10,505
511,YT2 OUT 073 | 074 | 075 | 076,12,508
511,YT2 OUT 073 | 074 | 075 | 076,12,509
512,WLP5954 Pyramid Ale Pitchable,0,
513,YT2 OUT 073 | 074 | 075 | 076,12,508
513,YT2 OUT 073 | 074 | 075 | 076,12,509
514,AA7 HEF 067 | 068,10,505
515,AA6 HEF 077 | 078,11,510
516,YT2 OUT 073 | 074,12,508
516,YT2 OUT 073 | 074,12,509
517,YT1 MAC 079,13,511
518,AA6 HEF 077 | 078,11,510
519,YT2 OUT 080 | 081,13,513
520,U8 CITRUS 082,2,521
521,YPT1 PROP (House Ale) 079A,1,512
522,YT2 OUT 080 | 081,13,513
523,YT1 OUT 085 | 086,13,516
524,YT2 AA 083 | 084,12,514
524,YT2 AA 083 | 084,12,515
525,YT1 OUT 085 | 086,13,516
526,AA6 HEF 077 | 078,11,510
527,AA10 AA 100 | 101,13,524
528,YT2 OUT 098 | 099,14,523
529,YT2 OUT 098 | 099,14,523
530,AA7 HEF 089 | 090,12,518
531,WLP830 German Lager Pitchable,0,
532,U4 CURVE 093 | 094,3,520
533,YT1 OUT 102 | 103 | 104 | 105,14,525
534,YPT1 PROP (House Lager) 112A,1,531
535,YT2 OUT 110 | 111,15,529
536,YT2 OUT 110 | 111,15,529
537,U13 HEF 117,2,534
538,YT1 OUT 113 | 114 | 115 | 116,4,532
539,AA6 HEF 123 | 124,3,537
540,YT2 OUT 121 | 122,16,536
541,AA6 HEF 123 | 124,3,537
542,YT1 OUT 125 | 126,5,538
543,AA6 HEF 123 | 124 / U13 HEF 117,3,534
543,AA6 HEF 123 | 124 / U13 HEF 117,3,537
544,AA10 AA 127 | 128,4,539
545,YT1 OUT 125 | 126,5,538
546,YT1 OUT 125 | 126,5,538
548,YT2 OUT 129 | 130 | 131 | 132,17,540
549,YT1 AA 133 | 134,4,541
550,YT1 OUT 140 | 141,6,546
551,WLP067 Coastal Haze Ale Blend Pitchable,0,
552,YT1 OUT 140 | 141,6,546
553,YPT1 PROP (Coastal Haze ) 146A,1,551
554,AA7 HEF 135 | 137,4,543
555,U4 AA 133 | 134,4,541
556,WLP029 German Ale/Kolsch Pitchable,0,
557,U16 INK 146,7,550
558,YT2 OUT 147 | 148 | 149 | 150,7,550
559,YT1 AA 144 | 145,5,549
560,YPT1 PROP (Kolsch) 153A,1,556
562,YT1 OUT 158 | 159,8,558
563,YT1 OUT 158 | 159,8,558
564,YT1 HEF 135 | 137,4,543
565,AA6 HEF 153 | 154,5,554
566,YT1 OUT 165 | 166,9,563
567,YT2 OUT 163 | 164,9,562
568,YT2 AA 160 | 161,6,559
569,AA6 HEF 153 | 154,5,554
570,YT1 OUT 165 | 166,9,563
571,WLP067 Coastal Haze Ale Blend Pitchable,0,
572,YT1 OUT 165 | 166,9,563
573,YT1 HEF 153 | 154,5,554
574,WLP029 German Ale/Kolsch Pitchable,0,
575,YT1 OUT 170 | 171 | 172 | 173,10,566
575,YT1 OUT 170 | 171 | 172 | 173,10,567
577,YPT1 PROP (Kolsch) 181A,1,574
578,YT1 OUT 170 | 171 | 172 | 173,10,566
578,YT1 OUT 170 | 171 | 172 | 173,10,567
579,YT1 OUT 170 | 171 | 172 | 173,10,566
579,YT1 OUT 170 | 171 | 172 | 173,10,567
580,YT1 OUT 170 | 171 | 172 | 173,10,566
580,YT1 OUT 170 | 171 | 172 | 173,10,567
582,YPT1 HEF 167 | 168,6,565
583,YT2 OUT 183 | 184,11,575
585,YPT1 PROP (Coastal Haze ) 177A,1,571
586,AA6 HEF 181 | 182,6,573
587,YT1 OUT 187 | 188,11,579
588,YT1 OUT 187 | 188,11,579
589,YT2 OUT 191 | 192 | 193 | 194,12,583
590,AA7 HEF 189 | 190,7,582
591,AA7 HEF 189 | 190,7,582
592,YT2 OUT 191 | 192 | 193 | 194,12,583
595,AA6 HEF 203 | 205,8,590
596,YT1 OUT 197 | 198,12,587
597,WLP067 Coastal Haze Ale Blend Pitchable,0,
598,YT2 OUT 207 | 208 | 209 | 210,13,592
599,AA7 HEF 211 | 212,9,595
600,AA7 HEF 211 | 212,9,595
601,YT2 OUT 207 | 208 | 209 | 210,13,592
602,AA6 HEF 219 | 220,10,599
603,YT2 OUT 223 | 224,14,601
604,AA6 HEF 219 | 220,10,599
605,YT2 OUT 223 | 224,14,601
